Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate
USA,Cambridge,Harvard University,Computer Science,Master,2,55400,83.5,2200,160,1500,1.00
UK,London,Imperial College London,Data Science,Master,1,41200,75.8,1800,485,800,0.79
Canada,Toronto,University of Toronto,Business Analytics,Master,2,38500,72.5,1600,235,900,1.35
Australia,Melbourne,University of Melbourne,Engineering,Master,2,42000,71.2,1400,450,650,1.52
Germany,Munich,Technical University of Munich,Mechanical Engineering,Master,2,500,70.5,1100,75,550,0.92
Japan,Tokyo,University of Tokyo,Information Science,Master,2,8900,76.4,1300,220,750,145.8
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,Master,1,15800,73.2,1500,180,720,0.92
Singapore,Singapore,National University of Singapore,Finance,Master,1.5,35000,81.1,1900,90,800,1.34
France,Paris,Sorbonne University,International Relations,Master,2,4500,74.6,1400,99,650,0.92
Switzerland,Zurich,ETH Zurich,Physics,Master,2,1460,91.5,2100,88,1200,0.89
Sweden,Stockholm,KTH Royal Institute,Sustainable Technology,Master,2,0,71.8,1200,110,400,10.45
Denmark,Copenhagen,University of Copenhagen,Bioinformatics,Master,2,0,73.4,1300,120,450,6.92
China,Beijing,Tsinghua University,Computer Engineering,Master,2.5,8900,52.3,800,140,400,7.18
South Korea,Seoul,Seoul National University,Digital Media,Master,2,7200,68.7,900,130,500,1320.5
Ireland,Dublin,Trinity College Dublin,Data Analytics,Master,1,28900,72.9,1600,150,650,0.92
South Korea,Busan,Pusan National University,Business,Bachelor,4,5900,62.4,700,130,500,1320.5
New Zealand,Auckland,University of Auckland,Marine Biology,Bachelor,3,28500,69.8,1200,245,600,1.64
Austria,Vienna,University of Vienna,Social Sciences,Bachelor,3,1500,67.4,950,160,500,0.92
Belgium,Brussels,KU Leuven,Biomedical Sciences,Bachelor,3,3500,68.9,1000,180,550,0.92
USA,Ann Arbor,University of Michigan,Aerospace Engineering,Bachelor,4,52300,72.5,1800,160,1500,1.00
USA,Atlanta,Georgia Tech,Industrial Engineering,Bachelor,4,43800,71.5,1700,160,1500,1.00
USA,Austin,UT Austin,Chemical Engineering,Bachelor,4,40900,72.4,1600,160,1500,1.00
UK,Bristol,University of Bristol,Mathematics,Bachelor,3,31200,69.8,1100,485,800,0.79
Canada,Ottawa,University of Ottawa,Political Science,Bachelor,4,28900,68.5,1300,235,900,1.35
Hong Kong,Hong Kong,HKUST,Finance,Bachelor,4,22000,78.6,1500,120,600,7.82
Portugal,Lisbon,University of Lisbon,Architecture,Bachelor,3,3500,58.4,800,120,450,0.92
Israel,Tel Aviv,Tel Aviv University,Computer Science,Bachelor,3,12000,76.2,1200,150,800,3.72
Taiwan,Taipei,National Taiwan University,Electronics Engineering,Bachelor,4,5200,62.8,700,140,450,31.2
Czech Republic,Prague,Charles University,Medicine,Bachelor,3,9800,54.6,650,100,400,22.5
USA,Stanford,Stanford University,Computer Science,PhD,5,54200,89.5,2300,160,1500,1.00
USA,Boston,MIT,Electrical Engineering,PhD,5,53800,83.2,2200,160,1500,1.00
UK,Oxford,University of Oxford,Biomedical Sciences,PhD,4,29800,74.5,1600,485,800,0.79
UK,Cambridge,University of Cambridge,Physics,PhD,4,31200,75.2,1700,485,800,0.79
Germany,Heidelberg,Heidelberg University,Molecular Biology,PhD,3,500,68.4,900,75,550,0.92
Switzerland,Basel,ETH Basel,Pharmaceutical Sciences,PhD,4,1500,88.6,1800,88,1200,0.89
Netherlands,Delft,TU Delft,Robotics,PhD,4,4800,71.8,1200,180,720,0.92
